temp,result
9.4,frisse
6.2,frisse
6.4,frisse
3.7,koude
3,koude
4.5,koude
2.4,koude
3.8,koude
3.5,koude
2.5,koude
8.1,frisse
5.5,frisse
4.3,koude
4.8,koude
4,koude
4,koude
4.4,koude
4.5,koude
4,koude
7.2,frisse
7.5,frisse
6.8,frisse
7.7,frisse
9.6,frisse
8.2,frisse
8.9,frisse
7.7,frisse
7,frisse
7.8,frisse
6.9,frisse
8.7,frisse
7.2,frisse
8.3,frisse
6.9,frisse
7,frisse
7,frisse
7.1,frisse
7,frisse
6.9,frisse
7.2,frisse
7.3,frisse
7.5,frisse
12,gemiddelde
11.3,gemiddelde
10.6,gemiddelde
11.2,gemiddelde
9.6,frisse
8.2,frisse
8.6,frisse
7.9,frisse
7.1,frisse
8,frisse
6.2,frisse
6.8,frisse
7.2,frisse
9.5,frisse
8.5,frisse
8,frisse
9.3,frisse
9.5,frisse
9.8,frisse
10.1,gemiddelde
11.2,gemiddelde
14.9,gemiddelde
13.7,gemiddelde
10.4,gemiddelde
10.6,gemiddelde
13.4,gemiddelde
15.1,gemiddelde
14.9,gemiddelde
18.6,gemiddelde
15.4,gemiddelde
12.8,gemiddelde
16.7,gemiddelde
16.3,gemiddelde
14.3,gemiddelde
13.9,gemiddelde
13.9,gemiddelde
15,gemiddelde
15.1,gemiddelde
12.8,gemiddelde
13.4,gemiddelde
13.8,gemiddelde
14.3,gemiddelde
12.6,gemiddelde
11.5,gemiddelde
11.8,gemiddelde
12.3,gemiddelde
10.6,gemiddelde
10.5,gemiddelde
11.5,gemiddelde
12.1,gemiddelde
12.9,gemiddelde
14.9,gemiddelde
15.5,gemiddelde
13.9,gemiddelde
11.6,gemiddelde
13.3,gemiddelde
12.1,gemiddelde
14.7,gemiddelde
13.7,gemiddelde
15.6,gemiddelde
12.3,gemiddelde
14.8,gemiddelde
11.6,gemiddelde
12.3,gemiddelde
14.7,gemiddelde
13.8,gemiddelde
12.8,gemiddelde
17.3,gemiddelde
19.8,gemiddelde
19,gemiddelde
15.8,gemiddelde
19.6,gemiddelde
13.9,gemiddelde
15.3,gemiddelde
15.7,gemiddelde
15.8,gemiddelde
14.2,gemiddelde
14.3,gemiddelde
15.6,gemiddelde
15.4,gemiddelde
17.3,gemiddelde
16.4,gemiddelde
15.9,gemiddelde
15.7,gemiddelde
15.8,gemiddelde
18.9,gemiddelde
21,warme
23,warme
24.7,warme
18.9,gemiddelde
16.2,gemiddelde
15.3,gemiddelde
15.4,gemiddelde
16.3,gemiddelde
17.2,gemiddelde
17.1,gemiddelde
15.6,gemiddelde
16,gemiddelde
15.5,gemiddelde
16.6,gemiddelde
16.9,gemiddelde
15.7,gemiddelde
15.7,gemiddelde
15,gemiddelde
16.7,gemiddelde
23.8,warme
28.6,zomers
27.3,zomers
25,zomers
21.2,warme
20.6,warme
18.6,gemiddelde
17.4,gemiddelde
16.8,gemiddelde
17.5,gemiddelde
17.3,gemiddelde
17.7,gemiddelde
17.5,gemiddelde
17.4,gemiddelde
16.4,gemiddelde
19,gemiddelde
19.9,gemiddelde
18.9,gemiddelde
17.1,gemiddelde
18.8,gemiddelde
19.5,gemiddelde
19.6,gemiddelde
22.6,warme
32,tropisch
26.7,zomers
21.4,warme
20,warme
21.4,warme
22.6,warme
20.1,warme
18.6,gemiddelde
21.3,warme
23,warme
21,warme
19.1,gemiddelde
19.6,gemiddelde
22.3,warme
22.3,warme
21.4,warme
18.8,gemiddelde
20.9,warme
20.7,warme
22.5,warme
24,warme
24,warme
24.5,warme
29.4,zomers
28.1,zomers
26.4,zomers
25.2,zomers
21.2,warme
20.7,warme
22.5,warme
20.8,warme
21.7,warme
22.8,warme
21.6,warme
23.2,warme
21.9,warme
21.3,warme
16.5,gemiddelde
18,gemiddelde
15.8,gemiddelde
16.8,gemiddelde
17.9,gemiddelde
18,gemiddelde
16.7,gemiddelde
17,gemiddelde
19.8,gemiddelde
20.1,warme
17.1,gemiddelde
18.9,gemiddelde
18.6,gemiddelde
18.6,gemiddelde
17.6,gemiddelde
16.5,gemiddelde
16.4,gemiddelde
14.5,gemiddelde
16.7,gemiddelde
15.6,gemiddelde
14.2,gemiddelde
17.1,gemiddelde
17.6,gemiddelde
17.6,gemiddelde
17.6,gemiddelde
16,gemiddelde
14.8,gemiddelde
16.1,gemiddelde
16,gemiddelde
16.4,gemiddelde
14,gemiddelde
15.1,gemiddelde
14.4,gemiddelde
17.2,gemiddelde
16.9,gemiddelde
15.1,gemiddelde
16.5,gemiddelde
15.7,gemiddelde
16.7,gemiddelde
16.5,gemiddelde
17.5,gemiddelde
16.5,gemiddelde
15.6,gemiddelde
15.4,gemiddelde
15.2,gemiddelde
14.3,gemiddelde
14.1,gemiddelde
16.3,gemiddelde
16.1,gemiddelde
15,gemiddelde
15.6,gemiddelde
13.4,gemiddelde
13.5,gemiddelde
12.8,gemiddelde
15.5,gemiddelde
18.3,gemiddelde
17,gemiddelde
18.1,gemiddelde
17.3,gemiddelde
13.9,gemiddelde
11.9,gemiddelde
11.4,gemiddelde
11.7,gemiddelde
11.5,gemiddelde
13.3,gemiddelde
13.9,gemiddelde
14.1,gemiddelde
11.7,gemiddelde
13.3,gemiddelde
11.3,gemiddelde
9.9,frisse
5.8,frisse
4.9,koude
2.8,koude
6.8,frisse
9.6,frisse
11.3,gemiddelde
12.1,gemiddelde
14,gemiddelde
14.7,gemiddelde
12.5,gemiddelde
11.8,gemiddelde
11.3,gemiddelde
10.4,gemiddelde
11.4,gemiddelde
11.1,gemiddelde
11.6,gemiddelde
13.1,gemiddelde
9.2,frisse
7.7,frisse
8.9,frisse
10.6,gemiddelde
10,frisse
10.7,gemiddelde
10.1,gemiddelde
10.6,gemiddelde
10.9,gemiddelde
10.9,gemiddelde
8.2,frisse
7.6,frisse
9.7,frisse
6.2,frisse
5.4,frisse
9.7,frisse
8.7,frisse
10.5,gemiddelde
11,gemiddelde
10.4,gemiddelde
9.8,frisse
7.8,frisse
8.6,frisse
8.7,frisse
8.9,frisse
5.3,frisse
5.7,frisse
6.7,frisse
3.1,koude
9.2,frisse
8.4,frisse
4.3,koude
4,koude
0.2,koude
-0.9,koude
0.7,koude
-2.7,koude
4.3,koude
4.8,koude
4.5,koude
5.4,frisse
5.9,frisse
-1.7,koude
0.6,koude
-2.7,koude
-2.7,koude
-2.6,koude
-0.5,koude
-0.3,koude
-0.8,koude
6.9,frisse
8,frisse
5.4,frisse
6.6,frisse
6.8,frisse
4.3,koude
3.2,koude
4.1,koude
7.5,frisse
7.7,frisse
8.6,frisse
9.7,frisse
8.7,frisse
7.2,frisse
6.3,frisse
7.8,frisse
7,frisse
4.2,koude
2.3,koude
1.3,koude
0.5,koude
0.3,koude
0.9,koude
0.9,koude
3.9,koude
3,koude
6.2,frisse
2.7,koude
1.2,koude
3.4,koude
3.9,koude
4.7,koude
4.4,koude
5.6,frisse
7.6,frisse
6.6,frisse
7.2,frisse
4.8,koude
3.9,koude
6.3,frisse
6.3,frisse
9.6,frisse
9.8,frisse
8.8,frisse
6.2,frisse
6.2,frisse
7.5,frisse
7.8,frisse
9.1,frisse
8.5,frisse
4.2,koude
6.2,frisse
7.5,frisse
6.6,frisse
5.8,frisse
5.8,frisse
6.2,frisse
4,koude
